"zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","lstat","medv","log_zn","log_dis","inverse_nox","ptratio_sq","predicted_target"
0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,4.03,34.7,0,1.60283616879954,2.13219616204691,316.84,0
0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,10.26,18.2,0,1.49557468428452,1.85873605947955,441,1
0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,12.8,18.4,0,1.49395971858799,1.85873605947955,441,1
0,8.14,0,0.538,5.95,82,3.99,4,307,21,27.71,13.2,0,1.38379123090177,1.85873605947955,441,1
0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21,0,1.36970755751549,2.00400801603206,368.64,0
25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,13.15,18.7,3.25809653802148,1.9776025957878,2.2075055187638,388.09,0
25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16,3.25809653802148,1.91963950631575,2.2075055187638,388.09,0
0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6,0,1.49013622420843,2.2271714922049,342.25,0
0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44,22.2,0,1.3211156350949,2.2271714922049,342.25,0
0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,11.34,21.4,0,1.25139059865509,2.24719101123596,324,0
0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41,17.3,0,0.664953446189163,1.72117039586919,364.81,0
0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,27.26,15.7,0,0.563721633119488,1.72117039586919,364.81,0
0,21.89,0,0.624,5.637,94.7,1.9799,4,437,21.2,18.34,14.3,0,0.683046338380516,1.6025641025641,449.44,1
0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,9.81,25,0,0.82566556026009,1.65289256198347,216.09,1
0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,12.03,19.1,0,0.870749284903777,1.65289256198347,216.09,1
0,10.59,1,0.489,5.96,92.1,3.8771,4,277,18.6,17.27,21.7,0,1.35508745149518,2.04498977505112,345.96,0
0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,3.76,31.5,0,1.21642495351517,1.98412698412698,302.76,0
0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,3.95,48.3,0,1.29524758010152,1.9723865877712,302.76,1
22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,3.53,29.6,3.13549421592915,2.1868038025083,2.32018561484919,364.81,0
90,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,7.85,32.2,4.51085950651685,1.98887384848743,2.5,234.09,0
80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,12.93,20.1,4.39444915467244,2.20708689551551,2.5974025974026,331.24,0
33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4,3.52636052461616,1.21491274436427,2.11864406779661,338.56,0
0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98,22.1,0,0.970892547065739,1.83823529411765,338.56,0
0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,6.12,25,0,1.55204182329279,2.02839756592292,384.16,0
0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,6.15,23,0,1.68933907162858,2.02839756592292,384.16,0
0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,10.56,18.5,0,1.72544158819041,1.94174757281553,408.04,1
80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,5.99,24.5,4.39444915467244,2.12154271769847,2.29885057471264,289,0
0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12,27.5,0,0.478219784017076,1.39275766016713,408.04,1
0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96,50,0,0.184319559456628,1.58478605388273,408.04,1
0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,17.64,14.5,0,0.719155999740996,1.71232876712329,408.04,1
0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,34.02,8.4,0,0.599166117089051,1.35135135135135,408.04,1
0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88,12.8,0,0.597296854903111,1.35135135135135,408.04,1
0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,22.11,10.5,0,0.623904277817785,1.35135135135135,408.04,1
0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,16.59,18.4,0,0.695544305159667,1.35135135135135,408.04,1
0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,23.79,10.8,0,0.639535411111296,1.35135135135135,408.04,1
0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,18.13,14.1,0,0.890275244670873,1.40252454417952,408.04,1
0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65,17.7,0,0.942776857109982,1.40252454417952,408.04,1
0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,13.22,21.4,0,1.0863372577925,1.52671755725191,408.04,1
0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,14.1,18.3,0,1.06219032203414,1.70940170940171,368.64,1
0,11.93,0,0.573,6.976,91,2.1675,1,273,21,5.64,23.9,0,0.77357442967256,1.74520069808028,441,0
