"ATM",".model","DATE","Cash",".mean"
"ATM4","auto_step",2010-05-01,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-02,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-03,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-04,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-05,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-06,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-07,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-08,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-09,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-10,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-11,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-12,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-13,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-14,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-15,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-16,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-17,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-18,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-19,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-20,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-21,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-22,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-23,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-24,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-25,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-26,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-27,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-28,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-29,N(474, 423718),474.043344945225
"ATM4","auto_step",2010-05-30,N(474, 423718),474.043344945225
